threshold_dbfs,file,sample_rate,channels,audio_duration_sec,event_index,event_start_sec,event_end_sec,event_duration_sec,active_start_sec,active_end_sec,rms_max_dbfs,rms_mean_dbfs
-35.0,Andinobates_daleswansoni/Andinobates_daleswansoni__IAvH-CSA-18542__2017-09-19__89e6055611.wav,44100,1,117.064,6,94.991,105.741,10.75,97.991,100.741,-30.1,-31.89
-35.0,Andinobates_daleswansoni/Andinobates_daleswansoni__IAvH-CSA-18542__2017-09-19__89e6055611.wav,44100,1,117.064,7,106.115,116.49,10.375,109.115,111.49,-30.18,-31.74
-35.0,Andinobates_daleswansoni/Andinobates_daleswansoni__IAvH-CSA-18543__2017-09-19__b3d6c050b8.wav,44100,1,136.43,1,0.0,10.999,10.999,1.875,5.999,-20.42,-24.68
-35.0,Andinobates_daleswansoni/Andinobates_daleswansoni__IAvH-CSA-18543__2017-09-19__b3d6c050b8.wav,44100,1,136.43,2,91.741,100.991,9.25,94.741,95.991,-33.26,-33.57
-35.0,Anura/Anura__IAvH-CSA-00584__1999-09-26__5ef3022e04.wav,44100,1,230.922,1,6.124,66.124,60.0,9.124,66.124,-17.92,-25.92
-35.0,Anura/Anura__IAvH-CSA-00584__1999-09-26__5ef3022e04.wav,44100,1,230.922,2,66.124,126.124,60.0,66.124,126.124,-17.92,-25.92
-35.0,Anura/Anura__IAvH-CSA-00584__1999-09-26__5ef3022e04.wav,44100,1,230.922,3,126.124,186.124,60.0,126.124,186.124,-17.92,-25.92
-35.0,Anura/Anura__IAvH-CSA-00584__1999-09-26__5ef3022e04.wav,44100,1,230.922,4,186.124,230.922,44.798,186.124,230.854,-17.92,-25.92
-35.0,Anura/Anura__IAvH-CSA-11075__2000-01-14__20585d4b3e.wav,44100,2,339.106,1,0.0,7.25,7.25,0.25,2.25,-28.87,-31.93
-35.0,Anura/Anura__IAvH-CSA-11075__2000-01-14__20585d4b3e.wav,44100,2,339.106,2,51.37,64.62,13.25,54.37,59.62,-16.59,-24.05
-35.0,Anura/Anura__IAvH-CSA-11075__2000-01-14__20585d4b3e.wav,44100,2,339.106,3,75.743,91.117,15.374,78.743,86.117,-25.86,-31.31
-35.0,Anura/Anura__IAvH-CSA-11075__2000-01-14__20585d4b3e.wav,44100,2,339.106,4,107.49,116.115,8.625,110.49,111.115,-27.17,-28.89
-35.0,Anura/Anura__IAvH-CSA-11075__2000-01-14__20585d4b3e.wav,44100,2,339.106,5,179.733,207.107,27.373,182.733,202.107,-21.3,-28.92
-35.0,Anura/Anura__IAvH-CSA-11075__2000-01-14__20585d4b3e.wav,44100,2,339.106,6,207.981,221.23,13.25,210.981,216.23,-23.58,-31.2
-35.0,Anura/Anura__IAvH-CSA-11075__2000-01-14__20585d4b3e.wav,44100,2,339.106,7,249.352,263.352,13.999,252.352,258.352,-24.85,-30.01
-35.0,Anura/Anura__IAvH-CSA-11075__2000-01-14__20585d4b3e.wav,44100,2,339.106,8,280.099,339.106,59.007,283.099,336.22,-14.12,-21.3
-35.0,Anura/Anura__IAvH-CSA-14963__2018-10-17__1b316eabe0.wav,96000,1,41.131,1,0.0,41.131,41.131,0.125,41.125,-18.06,-27.65
-35.0,Anura/Anura__IAvH-CSA-18685__2018-11-05__6382842737.wav,44100,1,960.946,1,0.0,10.25,10.25,1.0,5.25,-20.74,-25.29
-35.0,Anura/Anura__IAvH-CSA-18685__2018-11-05__6382842737.wav,44100,1,960.946,2,347.093,355.718,8.625,350.093,350.718,-33.54,-33.81
-35.0,Anura/Anura__IAvH-CSA-18685__2018-11-05__6382842737.wav,44100,1,960.946,3,483.831,492.456,8.625,486.831,487.456,-33.13,-33.9
-35.0,Anura/Anura__IAvH-CSA-18685__2018-11-05__6382842737.wav,44100,1,960.946,4,667.439,676.064,8.625,670.439,671.064,-33.95,-34.12
-35.0,Anura/Anura__IAvH-CSA-18685__2018-11-05__6382842737.wav,44100,1,960.946,5,849.548,858.173,8.625,852.548,853.173,-30.75,-32.37
